;TeachingLearning;DifferentialEvolution;ParticleSwarmOptimization;SOMA;Firefly
Exp 1;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 2;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 3;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 4;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 5;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 6;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 7;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 8;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 9;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 10;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 11;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 12;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 13;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 14;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 15;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 16;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 17;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 18;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 19;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 20;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 21;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 22;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 23;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 24;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 25;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 26;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 27;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 28;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 29;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 30;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Mean;0.000000000000000015071147499625;0.000000631869622979809661179895;0.000000003058628736111074855116;0.000000000000013017224309557723;0.000000002812570961945780753365
Std;0.000000000000000000000000000000;0.000000000000000000000105879118;0.000000000000000000000000827181;0.000000000000000000000000000002;0.000000000000000000000000000000
