;TeachingLearning;DifferentialEvolution;ParticleSwarmOptimization;SOMA;Firefly
Exp 1;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 2;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 3;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 4;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 5;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 6;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 7;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 8;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 9;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 10;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 11;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 12;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 13;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 14;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 15;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 16;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 17;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 18;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 19;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 20;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 21;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 22;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 23;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 24;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 25;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 26;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 27;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 28;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 29;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 30;0.000000000000000015071147499625;-878.854643386088127954280935227871;0.000000000427418492888625027341;0.000000000000009779238477396971;0.000000002812570961945780753365
Mean;0.000000000000000015071147499625;-878.854643386087786893767770379782;0.000000000602832509103455319159;0.000000000000012909291448485698;0.000000002812570961945780753365
Std;0.000000000000000000000000000000;0.000000000000341060513164848089;0.000000000656339149513902730377;0.000000000000000581236244978407;0.000000000000000000000000000000
