;TeachingLearning;DifferentialEvolution;ParticleSwarmOptimization;SOMA;Firefly
Exp 1;-1.800841478261973271912665950367;-878.854643386088127954280935227871;-1.599103565579439667487804399570;-1.801303404683555431375907573965;-1.800844839157685228769878449384
Exp 2;-1.800841478261973271912665950367;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303408423390983728040737333;-1.801277856906405627768208432826
Exp 3;-1.800841478261973271912665950367;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410033656238198318533250;-1.801277856906405627768208432826
Exp 4;-1.801303408267096006767360449885;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410033656238198318533250;-1.801293440713914062456524334266
Exp 5;-1.801303408267096006767360449885;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410095969947946059619426;-1.801293440713914062456524334266
Exp 6;-1.801303408267096006767360449885;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410095969947946059619426;-1.801293440713914062456524334266
Exp 7;-1.801303408267096006767360449885;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 8;-1.801303408267096006767360449885;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 9;-1.801303408267096006767360449885;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 10;-1.801303408267096006767360449885;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 11;-1.801303410060272724990682036150;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 12;-1.801303410060272724990682036150;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 13;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 14;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 15;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 16;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 17;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 18;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098148649609584026621;-1.801293440713914062456524334266
Exp 19;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098439083952825967572;-1.801293440713914062456524334266
Exp 20;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098439083952825967572;-1.801293440713914062456524334266
Exp 21;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098439083952825967572;-1.801293440713914062456524334266
Exp 22;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098439083952825967572;-1.801293440713914062456524334266
Exp 23;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098439083952825967572;-1.801293440713914062456524334266
Exp 24;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098439083952825967572;-1.801293440713914062456524334266
Exp 25;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098439083952825967572;-1.801293440713914062456524334266
Exp 26;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098439083952825967572;-1.801293440713914062456524334266
Exp 27;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098439083952825967572;-1.801293440713914062456524334266
Exp 28;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098544777184770282474;-1.801293440713914062456524334266
Exp 29;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098544777184770282474;-1.801293440713914062456524334266
Exp 30;-1.801303410098550994433708183351;-878.854643386088127954280935227871;-1.801302499798594691782227528165;-1.801303410098544777184770282474;-1.801293440713914062456524334266
Mean;-1.801257216485001366734763905697;-878.854643386087786893767770379782;-1.794562535324622842836106428877;-1.801303409857519577386142373143;-1.801277448408205694718731137982
Std;0.000138579407678272842991892833;0.000000000000341060513164848089;0.036295819486569930178987419822;0.000000001006543304843428419852;0.000080427286229638306051283048
