;TeachingLearning;DifferentialEvolution;ParticleSwarmOptimization;SOMA;Firefly
Exp 1;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000034599975553520262421235;0.000000000113430885899245379041;0.000210677233081229924038790813
Exp 2;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000034599975553520262421235;0.000000000000932656512411790349;0.000210677233081229924038790813
Exp 3;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000034599975553520262421235;0.000000000000932656512411790349;0.000210677233081229924038790813
Exp 4;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000034599975553520262421235;0.000000000000932656512411790349;0.000210677233081229924038790813
Exp 5;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000034599975553520262421235;0.000000000000123125249567395506;0.000210677233081229924038790813
Exp 6;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000034599975553520262421235;0.000000000000123125249567395506;0.000060703261610238780083929899
Exp 7;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000123125249567395506;0.000002950533400829017816605548
Exp 8;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000123125249567395506;0.000002950533400829017816605548
Exp 9;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000123125249567395506;0.000002950533400829017816605548
Exp 10;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000123125249567395506;0.000002950533400829017816605548
Exp 11;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000123125249567395506;0.000000597205837894891022031314
Exp 12;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000123125249567395506;0.000000597205837894891022031314
Exp 13;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000597205837894891022031314
Exp 14;0.000000000020095802334502143367;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000597205837894891022031314
Exp 15;0.000000000000056991904791340759;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000597205837894891022031314
Exp 16;0.000000000000056991904791340759;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000597205837894891022031314
Exp 17;0.000000000000056991904791340759;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000597205837894891022031314
Exp 18;0.000000000000056991904791340759;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 19;0.000000000000056991904791340759;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 20;0.000000000000056991904791340759;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 21;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 22;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 23;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 24;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 25;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 26;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 27;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 28;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 29;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000006256245032133014010135;0.000000000000013017224309557721;0.000000002812570961945780753365
Exp 30;0.000000000000000015071147499625;0.000000631869622979809767059013;0.000000003058628736111075682297;0.000000000000013017224309557721;0.000000002812570961945780753365
Mean;0.000000000009389444494108428905;0.000000631869622979809661179895;0.000000011818403926543071166126;0.000000000003914938915686397519;0.000037670285496915798353120136
Std;0.000000000010014900984317637701;0.000000000000000000000105879118;0.000000011405114002339412517181;0.000000000020338385176536142432;0.000078118537206240971286323738
