;TeachingLearning;DifferentialEvolution;ParticleSwarmOptimization;SOMA;Firefly
Exp 1;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 2;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 3;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 4;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 5;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 6;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 7;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 8;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 9;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 10;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 11;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 12;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 13;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 14;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 15;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 16;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 17;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 18;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 19;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 20;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 21;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 22;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 23;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 24;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 25;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 26;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 27;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 28;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 29;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Exp 30;-1.801303410098394675031840961310;-667.703320821980923938099294900894;-1.801301695966319060815408192866;-1.801303410098536117445178206253;-1.801302939552023696379023931513
Mean;-1.801303410098394008898026186216;-667.703320821980696564423851668835;-1.801301695966318616726198342803;-1.801303410098535673355968356191;-1.801302939552023696379023931513
Std;0.000000000000000666133814775094;0.000000000000227373675443232059;0.000000000000000444089209850063;0.000000000000000444089209850063;0.000000000000000000000000000000
